Name,Latitude,Longitude
เพนกวินกินชาบู–สะพานควาย,13.7902831,100.5508728
Mee Mee Shabu At The Seasons,13.7687273,100.5402493
ชาบูชาบูนางใน สาขาอารีย์-สะพานควาย,13.7884437,100.5482027
Tazu Shabu-Yaki,13.7800299,100.5453672
ชาบูอินดี้ สาขาสะพานควาย,13.7907025,100.5431303
โอเรนจิ (Oranjii),13.7889865,100.5476194
Penguin Eat Shabu Ari เพนกวิน อีท ชาบู อารีย์,13.7825542,100.5438294
FuFu Taiwanese Shabu Ari,13.77866,100.538687
Shuba Shabu (ชูบา ชาบู),13.7538591,100.532027
ชิมิ ชาบู(Shimi Shabu),13.7908679,100.5432356
ร้านแจ่วชาบู 4 ประดิพัทธ์,13.7912862,100.5404638
Shabuku ชาบูกู - อารีย์,13.7789288,100.5431495
อิ่มอุ่น ชาบู,13.7828928,100.546055
Shabu Tower Ari,13.786193,100.5457538
MK Restaurants,13.7827764,100.5336854